DIRECTORIO,TIP_FOR,P1,P1S1,P2,P2S1,P5,CTL_1,P8R,P9,P10R,P11,P12,P13,P15,P16S1,P16S2,P16S3,P16S4,P16S5,P16S6,P16S7,P16S8,P16S9,P17,P17S1,P17S2,P17S3,P17S4,P17S5,P17S6,P17S7,P17S8,P17S9,P17S10,P18,P19,P20,P20S1,P20S2,P20S3,P20S4,P20S5,P20S1A1,P20S2A1,P20S3A1,P20S4A1,P20S5A1,P21,P22,P23,P23S1R,P23S2,P24,P25,P26,P26S1,P26S2,P26S3,P26S4,P26S5,P26S6,P26_1,P26_2S1,P26_2S2,P26_2S3,P26_2S4,P26_2S5,P26_2S6,P26_2S7,P26_2S8,P27,P28R,P29,P30,P30S1,P30S2,P30S3,P30S4,P30S5,P30S6,P30S7,P30S8,P30S9,P30S1A1R,P30S2A1R,P30S3A1R,P30S4A1R,P30S5A1R,P30S6A1R,P30S7A1R,P30S8A1R,P30S9A1R,P30_1,P30_2,P31,P32,P32S1,P32S2,P32S3,P32S4,P32S5,P32S6,P32S7,P32S8,P33,P33S1,P33S2,P33S3,P33S4,P33S5,P33S6,P33_1,P33_2,P33_2S1,P33_2S2,P33_2S3,P33_2S4,P33_2S5,P34,P35,P36R,P37S1,P37S2,P37S3,P37S4,P37S5,P37S6,P37S7,COMPLETA
2994,2,73,73001,1,11,1,1,26,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,1,,,,,,,,1,,,11,,,2,2,2,2,2,,,,,,2,1,,9,0,1,8,,1,2,2,2,2,2,1,,,1,,,,,,1,3,1,,1,2,2,2,2,1,2,2,2,16,,,,,16,,,,6,2,2,,,,,,,,,,,2,2,1,2,2,2,2,,1,2,1,2,2,1,,,,,,,,,,1
2995,2,81,81001,1,03,1,1,51,1,5,3,1,1,6,4,4,3,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,6,,0,6,5,9,,2,2,2,2,2,2,,,,,,,,,,1,3,5,,2,1,2,2,2,2,2,2,2,,15,,,,,,,,2,,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
2996,2,54,54001,1,01,2,1,64,1,3,1,1,1,6,4,4,2,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,11,,5,0,11,9,,2,2,2,2,2,2,,,,,,,,,,1,2,9,,2,1,2,2,2,2,2,2,2,,40,,,,,,,,2,,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
2997,2,41,41001,1,06,1,1,33,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,2,,7,0,1,9,,2,2,2,2,2,2,,,,,,,,,,1,3,5,,1,1,1,1,2,1,2,1,2,15,16,15,15,,18,,16,,6,1,2,,,,,,,,,,,2,2,1,2,2,2,2,,1,2,1,1,1,1,,,,,,,,,,1
2998,2,13,13001,1,01,2,1,60,1,3,2,1,3,5,4,4,3,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,5,,1,0,4,9,,2,2,1,2,2,2,3,,1,1,,,,,,2,8,9,,1,2,2,2,2,2,2,2,2,25,,,,,,,,,1,,1,1,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
2999,2,13,13001,1,01,2,1,43,1,3,1,1,1,6,3,4,4,2,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,8,7,1,1,,2,2,2,2,1,2,5,,1,,,,,,,2,8,5,,1,1,2,2,2,1,2,2,2,15,15,,,,20,,,,6,2,2,,,,,,,,,,,2,2,1,2,2,2,1,,1,2,2,2,2,1,,,,,,,,,,1
3000,2,13,13001,1,01,2,1,30,1,3,1,1,2,5,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,7,,15,3,4,3,,2,1,2,2,2,2,2,,,1,,,,,,1,1,1,,2,2,1,2,2,2,2,2,2,,,15,,,,,,,3,,2,,,,,,,,,,,2,2,1,2,2,2,2,,2,2,2,1,1,1,,,,,,,,,,1
3001,2,81,81001,1,03,1,1,20,2,5,3,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,2,5,,0,8,5,9,,2,2,2,2,2,2,,,,,,,,,,1,4,1,,1,2,2,2,2,2,2,2,2,20,,,,,,,,,1,,2,,,,,,,,,,,2,1,2,2,2,2,2,,1,2,2,2,2,1,,,,,,,,,,1
3003,2,13,13001,1,01,2,1,38,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,6,,1,1,5,5,,2,2,2,2,2,2,,,,,,,,,,1,3,5,,1,2,1,2,2,2,2,2,2,15,,15,,,,,,,1,,2,,,,,,,,,,,2,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
3004,2,54,54001,1,01,2,1,35,1,5,3,1,1,6,3,4,3,2,2,4,4,4,4,2,,,,,,,,,,,,,,2,1,2,2,2,,1,,,,1,7,,1,3,7,1,,2,2,2,2,2,2,,,,,,,,,,1,4,4,,1,2,2,2,1,1,1,2,2,33,,,,33,33,33,,,7,1,2,,,,,,,,,,,2,2,1,2,2,2,1,,2,2,1,2,2,1,,,,,,,,,,1
3005,2,73,73001,1,11,1,1,40,1,3,2,1,1,6,4,4,4,4,4,4,4,4,4,1,,,,,,,,1,,,9,,,2,2,2,2,2,,,,,,1,2,,22,0,2,5,,2,2,2,2,2,2,,,,,,,,,,1,3,5,,1,1,2,2,2,1,2,2,2,15,33,,,,15,,,,6,2,1,2,,,1,,,,,,,1,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
3006,2,13,13001,1,01,1,1,32,1,5,2,1,1,5,4,4,4,3,3,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,7,,11,0,11,9,,2,1,2,2,2,2,2,,1,1,,,,,,1,1,1,,1,1,1,2,1,1,2,1,2,20,20,30,,31,20,,27,,6,1,2,,,,,,,,,,,1,1,2,2,2,2,1,,2,2,2,1,2,5,,,,,,,,,,1
3007,2,54,54001,1,01,2,1,32,1,5,3,1,1,6,4,4,4,1,4,4,4,4,2,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,6,,0,5,5,9,,2,2,2,2,2,2,,,,,,,,,,1,2,9,,2,2,2,2,2,1,2,2,2,,,,,,30,,,,6,2,2,,,,,,,,,,,2,2,1,2,2,2,1,,1,1,2,2,2,1,,,,,,,,,,1
3008,2,81,81001,1,03,1,1,64,1,5,1,1,1,6,4,4,3,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,5,,14,0,5,9,,2,2,2,2,2,2,,,,,,,,,,2,1,5,,1,2,2,2,2,2,2,2,2,16,,,,,,,,,1,,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
3009,2,41,41001,1,06,1,1,47,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,23,0,1,9,,2,2,2,2,2,2,,,,,,,,,,1,4,1,,2,2,2,2,2,1,2,2,2,,,,,,24,,,,6,1,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,1,1,,,,,,,,,,1
3010,2,13,13001,1,01,2,1,56,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,7,,7,0,7,9,,2,2,2,1,1,2,5,,1,,,,,,,1,5,5,,2,1,1,2,2,2,2,2,2,,17,15,,,,,,,3,,2,,,,,,,,,,,2,2,2,2,2,2,1,,1,2,2,2,2,1,,,,,,,,,,1
3011,2,13,13001,1,01,2,1,35,1,3,2,1,3,5,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,3,0,1,1,,2,2,1,2,2,2,3,,1,1,,,,,,1,2,1,,1,2,1,2,2,1,2,2,2,15,,15,,,15,,,,6,3,1,1,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
3012,2,41,41001,1,06,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,,,,,1,,,1
3013,2,13,13001,1,01,1,1,60,1,3,2,1,1,6,4,4,2,4,4,4,4,4,4,1,,,,,,,,1,,,11,,,2,2,2,2,2,,,,,,1,2,,20,0,4,9,,2,2,2,2,2,2,,,,,,,,,,1,2,5,,2,1,2,2,2,2,2,2,2,,25,,,,,,,,2,,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
3014,2,13,13001,1,01,2,1,57,1,3,2,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,2,10,,2,1,4,6,,2,2,2,2,2,2,,,,,,,,,,1,2,9,,2,1,2,2,2,2,2,2,2,,55,,,,,,,,2,,1,1,,,,,,,,,,2,2,1,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
3015,2,81,81001,1,03,1,1,33,1,5,1,1,1,6,4,4,3,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,5,,2,5,5,8,,2,2,2,2,2,2,,,,,,,,,,1,2,5,,1,2,1,2,1,2,2,2,2,19,,16,,22,,,,,3,,2,,,,,,,,,,,2,2,1,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
3016,2,54,54001,1,01,1,1,27,1,5,3,1,1,6,4,4,4,4,4,4,4,4,4,1,,,,,,,,,,,10,,,2,2,2,2,2,,,,,,1,6,,0,3,1,1,,2,2,2,2,2,2,,,,,,,,,,1,3,5,,1,2,1,2,1,2,2,2,2,15,,18,,20,,,,,1,,2,,,,,,,,,,,2,2,1,2,2,2,1,,1,2,1,2,2,1,,,,,,,,,,1
3017,2,54,54001,1,01,2,1,32,2,3,1,1,3,6,4,4,2,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,2,0,4,3,,2,2,1,2,2,2,3,,1,1,1,1,1,1,1,1,4,8,,1,1,2,2,2,2,2,2,2,20,20,,,,,,,,1,,1,1,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
3018,2,54,54001,1,08,1,1,28,1,3,2,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,0,0,1,1,,2,2,2,1,2,2,4,,1,,,,,,,1,4,4,,1,1,1,2,2,2,1,2,2,18,16,18,,,,24,,,7,,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,1,1,,,,,,,,,,1
3019,2,13,13001,1,01,2,1,55,1,3,1,1,1,6,3,3,3,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,10,,20,1,1,9,,2,2,2,2,2,2,,,,,,,,,,1,4,5,,1,1,1,2,2,1,2,2,2,19,19,26,,,26,,,,6,2,2,,,,,,,,,,,1,1,1,2,1,2,1,,1,2,2,1,1,1,,,,,,,,,,1
3020,2,73,73001,1,11,1,1,29,1,3,1,1,1,6,4,4,4,4,2,4,4,4,4,1,,,,,,,,1,,,10,,,2,2,2,2,2,,,,,,1,7,,1,0,4,1,,2,2,2,2,2,2,,,,,,,,,,1,2,5,,1,2,2,2,2,1,2,2,2,15,,,,,15,,,,6,2,2,,,,,,,,,,,2,2,1,2,2,2,1,,1,2,1,2,2,1,,,,,,,,,,1
3021,2,13,13001,1,01,2,1,75,1,3,2,1,2,6,2,4,3,3,4,4,3,4,4,2,,,,,,,,,,,,,,1,2,2,2,2,1,,,,,1,5,,31,0,4,6,,2,2,2,2,1,2,5,,1,,,,,,,1,2,4,,2,1,2,2,2,2,2,2,2,,20,,,,,,,,2,,1,2,1,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,5,,,,,,,,,,1
3022,2,81,81001,1,03,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32,,,1,,,,,1
3023,2,41,41001,1,06,1,1,37,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,20,0,1,9,,2,2,2,2,2,2,,,,,,,,,,1,1,5,,2,2,2,2,2,1,2,2,2,,,,,,15,,,,6,1,2,,,,,,,,,,,2,2,2,2,2,1,2,,2,2,2,2,2,1,,,,,,,,,,1
3024,2,54,54001,1,01,2,1,57,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,9,,15,0,8,9,,2,2,2,2,2,2,,,,,,,,,,1,1,9,,2,1,2,2,2,2,2,2,2,,15,,,,,,,,2,,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
3025,2,54,54001,1,08,1,1,41,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,1,,1,,,,,,,,,10,,,2,2,2,2,2,,,,,,1,11,,2,0,7,9,,2,2,2,1,2,2,4,,1,,,,,,,1,1,9,,2,1,2,2,2,2,2,2,2,,15,,,,,,,,2,,2,,,,,,,,,,,2,2,1,2,2,2,1,,1,2,2,2,2,1,,,,,,,,,,1
3026,2,13,13001,1,01,2,1,44,1,3,2,1,2,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,11,,2,0,1,9,,2,2,1,2,1,2,3,,1,1,,,,,,1,5,4,,2,2,1,2,2,2,2,2,2,,,43,,,,,,,3,,1,1,,,,,,,,,,1,2,1,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
3027,2,54,54001,1,01,1,1,51,1,3,2,1,1,6,4,4,4,4,4,4,4,4,4,1,,,,,,,,1,,,10,,,2,2,2,2,2,,,,,,1,1,,30,0,1,9,,2,2,2,2,2,2,,,,,,,,,,1,1,5,,2,2,1,1,1,1,1,2,2,,,15,15,15,15,15,,,6,2,2,,,,,,,,,,,2,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
3028,2,41,41001,1,06,1,1,67,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,2,,6,0,1,9,,2,2,2,2,2,2,,,,,,,,,,1,1,1,,2,2,2,2,2,1,2,2,2,,,,,,55,,,,6,1,2,,,,,,,,,,,2,2,2,2,2,1,2,,2,2,2,2,2,1,,,,,,,,,,1
3029,2,81,81001,1,03,1,1,42,1,5,1,1,1,6,3,4,3,3,3,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,11,,7,0,11,3,,1,2,2,2,2,2,1,1,1,,,,,1,1,1,2,4,,2,2,2,2,2,1,2,2,2,,,,,,23,,,,6,1,2,,,,,,,,,,,2,2,1,2,2,1,2,,2,1,2,2,2,1,,,,,,,,,,1
3030,2,54,54001,1,01,2,1,31,1,5,3,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,5,,0,2,4,9,,2,2,2,2,2,2,,,,,,,,,,1,2,5,,2,2,1,2,2,2,2,2,2,,,15,,,,,,,3,,2,,,,,,,,,,,1,2,2,2,2,2,1,,1,2,1,1,1,1,,,,,,,,,,1
3031,2,54,54001,1,01,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35,,,,,1,,,1
3032,2,81,81001,1,03,1,1,62,1,3,1,1,1,6,4,4,3,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,6,,5,8,5,9,,2,2,2,2,2,2,,,,,,,,,,1,2,5,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
3033,2,54,54001,1,08,1,1,54,1,3,1,1,1,6,4,4,3,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,11,,25,0,11,3,,2,2,2,1,2,2,4,,1,,,,,,,1,2,5,,2,1,2,2,2,2,2,2,2,,15,,,,,,,,2,,1,1,,,,,,,,,,2,2,2,2,2,1,1,,2,2,2,2,2,1,,,,,,,,,,1
3034,2,81,81001,1,03,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37,,,1,,,,,1
3035,2,54,54001,1,05,1,1,61,1,5,3,1,1,6,4,4,3,3,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,6,,2,0,5,9,,2,2,2,2,2,2,,,,,,,,,,1,3,1,,1,2,2,2,2,2,2,2,2,15,,,,,,,,,1,,2,,,,,,,,,,,2,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
3036,2,81,81001,1,03,1,1,36,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,6,,1,4,5,9,,2,2,2,2,2,2,,,,,,,,,,1,3,1,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
3037,2,54,54001,1,05,1,1,15,1,5,3,1,1,6,4,4,4,3,4,4,4,4,4,1,,,,,,,,,,,11,,,2,2,2,2,2,,,,,,1,5,,0,0,4,1,,2,2,1,2,2,2,3,1,1,,,,,,,2,8,9,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,1,,2,2,2,2,2,,,,,,,,,,,1
3038,2,54,54001,1,01,2,1,37,1,3,2,1,3,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,2,2,,17,0,1,1,,2,2,2,2,2,2,,,,,,,,,,1,2,5,,1,1,1,1,2,1,2,1,2,20,20,20,36,,20,,20,,6,1,2,,,,,,,,,,,2,2,1,2,2,2,2,,1,2,2,2,2,1,,,,,,,,,,1
3039,2,54,54001,1,10,1,1,34,2,3,1,1,1,6,4,4,4,4,4,4,4,4,4,1,,,,,,1,,,1,,11,,,2,2,2,2,2,,,,,,1,1,,10,0,1,9,,2,2,2,2,2,2,,,,,,,,,,2,8,1,,1,2,2,2,1,1,1,2,2,17,,,,17,17,17,,,7,2,2,,,,,,,,,,,2,2,1,2,2,2,2,,1,2,2,2,2,1,,,,,,,,,,1
3040,2,54,54001,1,10,1,1,37,1,3,1,1,1,6,4,4,4,2,2,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,9,0,1,1,,2,2,2,2,2,2,,,,,,,,,,2,8,5,,1,2,2,2,2,1,2,2,2,17,,,,,18,,,,6,1,1,2,,,,,,,,1,,2,1,1,1,1,2,2,,1,2,2,1,1,1,,,,,,,,,,1
3041,2,54,54001,1,08,1,1,28,1,3,2,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,2,2,,7,0,2,1,,2,2,2,1,2,2,4,,1,,,,,,,1,2,9,,2,2,1,2,1,2,2,2,2,,,21,,16,,,,,5,,2,,,,,,,,,,,1,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
3042,2,54,54001,1,05,1,1,19,1,5,3,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,5,,0,0,4,9,,2,2,2,2,2,2,,,,,,,,,,1,2,4,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
3043,2,54,54001,1,10,1,1,36,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,7,,5,0,5,9,,2,2,2,2,2,2,,,,,,,,,,1,2,5,,2,2,2,2,2,1,2,2,2,,,,,,15,,,,6,1,2,,,,,,,,,,,2,2,1,2,2,2,2,,2,2,2,2,1,1,,,,,,,,,,1
3045,2,54,54001,1,10,1,1,20,1,3,1,1,1,6,4,4,4,4,2,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,6,0,1,1,,1,2,2,2,2,2,1,,1,,,,,,1,1,2,1,,1,2,1,2,2,2,1,2,2,18,,15,,,,15,,,7,,1,2,,,,,,,,1,,2,2,1,1,1,2,1,,1,2,1,2,1,1,,,,,,,,,,1
3046,2,54,54001,1,10,1,1,24,1,3,3,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,7,,1,3,4,9,,2,2,2,2,2,2,,,,,,,,,,1,2,5,,1,2,1,2,2,1,2,2,2,19,,15,,,23,,,,6,2,2,,,,,,,,,,,2,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
3047,2,54,54001,1,05,1,1,54,2,3,3,1,1,5,4,4,3,3,4,4,4,4,4,1,,,,,,,,,,,11,,,2,2,2,2,2,,,,,,1,11,,2,0,11,1,,2,2,2,2,2,2,,,,,,,,,,1,5,4,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
3048,2,54,54001,1,08,1,1,20,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,0,2,7,1,,1,2,2,2,2,2,1,,1,,,,,,,1,2,9,,2,2,1,2,2,2,1,2,2,,,16,,,,19,,,7,,2,,,,,,,,,,,2,2,2,2,1,2,1,,2,2,2,2,2,1,,,,,,,,,,1
3049,2,54,54001,1,10,1,1,44,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,1,,,1,,,,,,,,11,,,2,2,2,2,2,,,,,,1,1,,17,0,1,3,,2,2,2,2,2,2,,,,,,,,,,1,2,1,,1,2,2,2,2,1,2,2,2,17,,,,,15,,,,6,2,1,1,,,,,,,,,,2,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
3050,2,54,54001,1,05,1,1,30,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,5,0,1,9,,2,2,2,2,2,2,,,,,,,,,,1,2,5,,2,1,2,2,2,1,2,2,2,,15,,,,15,,,,2,2,2,,,,,,,,,,,2,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
3052,2,54,54001,1,10,1,1,37,1,3,1,1,1,6,4,4,4,4,4,4,4,3,3,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,6,,10,0,1,9,,2,2,2,2,2,2,,,,,,,,,,1,3,5,,1,2,2,2,2,1,2,2,2,15,,,,,25,,,,6,2,2,,,,,,,,,,,2,2,1,2,2,2,1,,1,2,2,2,1,1,,,,,,,,,,1
3053,2,73,73001,1,11,1,1,25,1,3,2,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,2,7,,7,0,7,5,,1,2,2,2,2,2,1,1,,,,,,,,1,2,5,,1,1,1,2,1,1,2,2,2,18,17,15,,20,15,,,,6,2,1,2,1,,,,,,,,,2,2,1,2,2,2,1,,1,1,1,2,2,1,,,,,,,,,,1
3054,2,54,54001,1,08,1,1,39,2,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,20,0,1,9,,2,2,2,2,2,2,,,,,,,,,,1,2,4,,2,2,2,2,2,1,1,2,2,,,,,,15,20,,,7,1,2,,,,,,,,,,,2,2,1,2,2,2,1,,1,2,2,2,1,1,,,,,,,,,,1
3055,2,54,54001,1,05,1,1,29,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,11,,5,0,11,9,,2,2,2,2,2,2,,,,,,,,,,2,8,1,,1,2,1,2,2,1,2,2,2,15,,16,,,18,,,,6,1,2,,,,,,,,,,,2,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
3056,2,54,54001,1,10,1,1,32,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,7,,14,0,1,9,,2,2,2,2,2,2,,,,,,,,,,1,4,4,,1,2,1,2,1,1,2,1,2,15,,15,,18,15,,18,,6,1,2,,,,,,,,,,,1,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
3057,2,54,54001,1,01,1,1,57,1,3,1,1,1,6,4,4,2,1,4,4,4,4,3,1,,,,,1,,,,,,11,,,2,2,2,2,2,,,,,,1,5,,10,0,4,9,,2,2,2,2,2,2,,,,,,,,,,1,2,4,,1,2,1,2,2,1,2,2,2,18,,18,,,20,,,,1,2,2,,,,,,,,,,,2,1,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
3058,2,54,54001,1,05,1,1,28,2,5,2,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,3,,4,0,1,9,,2,2,2,2,2,2,,,,,,,,,,1,3,9,,2,2,2,2,2,1,1,2,2,,,,,,15,15,,,6,1,1,2,1,,,,,,,,,2,2,1,2,2,2,1,,1,2,2,2,2,1,,,,,,,,,,1
3059,2,54,54001,1,01,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32,,,,1,,,,1
3060,2,44,44001,1,06,1,1,18,2,5,3,1,1,6,4,4,3,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,5,,0,4,5,1,,2,2,2,2,2,2,,,,,,,,,,1,1,9,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
3061,2,54,54001,1,01,1,1,28,1,5,3,1,1,6,4,4,4,2,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,1,0,1,9,,2,2,2,2,2,2,,,,,,,,,,1,1,4,,1,2,2,2,2,1,2,2,2,28,,,,,28,,,,6,1,2,,,,,,,,,,,1,2,2,1,2,2,2,,1,2,2,1,1,1,,,,,,,,,,1
3062,2,54,54001,1,05,1,1,20,2,3,1,1,1,6,4,4,4,4,4,4,4,4,4,1,,,,,,,,1,,,11,,,2,2,2,2,2,,,,,,1,7,,4,0,7,9,,2,1,2,2,2,2,2,,1,,,,,,,2,8,5,,1,2,2,2,2,1,1,2,2,15,,,,,15,15,,,6,1,2,,,,,,,,,,,2,2,2,1,2,2,1,,1,2,2,2,2,1,,,,,,,,,,1
